"metric","mean","lower","upper"
"inc.cost",-9973033.05376473,-45852691.9143997,15917380.7585773
"inc.qol",1508.12010496537,838.807013578851,2463.45583034954
"NMB",40135435.1530721,8489229.21626169,82352456.5747426
