"","mRS0","mRS1","mRS2","mRS3","mRS4","mRS5","mRS6","var","t"
"1",0.149886724064,0.168379241968,0.05917520122112,0.21789095664768,0.09392304227328,0.06240087673104,0.24834395709488,"ivt",1
"2",0.145413790654904,0.163354453138301,0.0571973800062857,0.207097102170428,0.0885415509418769,0.0576150928810189,0.280780630207186,"ivt",2
"3",0.140545792961425,0.157885858326795,0.0550528164252638,0.195588386040333,0.0828504915001548,0.0526581472251951,0.315418507520833,"ivt",3
"4",0.135233004716741,0.151917596207767,0.05272203139249,0.183315242679824,0.0768373562264156,0.0475424674189767,0.352432301357786,"ivt",4
"5",0.129554915963313,0.145538964036708,0.0502427282147579,0.170538323575244,0.0706430435883085,0.0424122671411136,0.391069757480555,"ivt",5
"6",0.123308807747589,0.138522232080083,0.0475297466426806,0.156889799668161,0.064103819229381,0.0371571764079808,0.432488418224124,"ivt",6
"7",0.116649112735305,0.131040886384466,0.0446547074859059,0.142824044992671,0.0574565177548335,0.0319997140176514,0.475375016629167,"ivt",7
"8",0.109523540326436,0.123036184912165,0.0415996204353349,0.128341405015721,0.0507177754652034,0.0269760852557236,0.519805388589416,"ivt",8
"9",0.102134406316724,0.114735404498657,0.0384562652302188,0.113967957528571,0.0441480458722572,0.0222987541118079,0.564259166441764,"ivt",9
"10",0.0944006690624939,0.106047504855918,0.0351948772101538,0.0996425100189245,0.0377295974100469,0.0179593403054857,0.609025501136977,"ivt",10
"11",0.0863838493250749,0.0970415969690777,0.0318473468614215,0.0855956325842785,0.0315776807162905,0.0140396608813559,0.653514232662501,"ivt",11
"12",0.0780931913481251,0.0877280656053613,0.0284240250501342,0.0719587173672377,0.0257588207681226,0.0105767111472329,0.697460468713786,"ivt",12
"13",0.0696775665935211,0.0782741494849295,0.0249933720614045,0.0590861642350919,0.020429149811542,0.0076474576401847,0.739892140173326,"ivt",13
"14",0.0611518951452976,0.0686966094814057,0.0215682307472648,0.0470848307825446,0.0156297476893415,0.00524261966842575,0.78062606648572,"ivt",14
"15",0.0528010860289591,0.0593155057338307,0.0182694672531498,0.0364113090687567,0.0115317488419501,0.00340269470514265,0.818268188368211,"ivt",15
"16",0.0446510023267336,0.0501598922241878,0.0151110964254406,0.0270816968082125,0.00811419301691831,0.00205287637229259,0.852829242826215,"ivt",16
"17",0.0370028187164809,0.0415681015451377,0.0122121439703871,0.0193813363923306,0.00544565339109877,0.00114917901415602,0.883240766970409,"ivt",17
"18",0.0298734665039193,0.0335591539297275,0.00957687346683984,0.0131825443015809,0.00343115703090843,0.000580147823163733,0.90979665694386,"ivt",18
"19",0.0235377099998601,0.026441713181661,0.00730201370291198,0.00854145222384024,0.00203396956668913,0.000263931235689728,0.931879210089348,"ivt",19
"20",0.0180449859128382,0.0202713153436429,0.00539354851509272,0.00523270659771946,0.0011226530209387,0.000105643418357901,0.94982914719141,"ivt",20
