"",".id","intervention_costs","standard_costs","intervention_qol","standard_qol","inc.cost","inc.qol","NMB"
"90",90,-216366744.02988,-161283500.124581,7949.33392969065,6603.93835511886,-55083243.9052987,1345.39557457179,81991155.3967344
"91",91,-12654334.4298552,-7105671.18487479,9798.29184850997,8225.0931209157,-5548663.24498043,1573.19872759427,37012637.7968659
"92",92,-82891922.8364755,-74862918.8902252,5090.8454800699,4362.54527356391,-8029003.94625026,728.300206505986,22595008.07637
"93",93,-49425252.8163874,-43709656.972115,8231.20499856447,7280.29429994917,-5715595.84427245,950.910698615296,24733809.8165784
"94",94,-73147731.1311353,-67567455.3356003,10015.3710504051,8550.82908673773,-5580275.79553494,1464.54196366737,34871115.0688822
"95",95,-52390934.4117349,-43596719.3167074,7943.42614924805,6833.89436112422,-8794215.09502753,1109.53178812383,30984850.857504
"96",96,-77232707.3600374,-58790005.5375445,7851.68703585708,6712.03609781867,-18442701.8224929,1139.65093803841,41235720.5832611
"97",97,-10001285.1733229,-8007669.70041517,9915.02931846171,8689.40903610072,-1993615.47290775,1225.62028236099,26506021.1201275
"98",98,-24067178.6025862,-23376319.4379274,10881.1366804292,8825.42534592407,-690859.16465877,2055.7113345051,41805085.8547608
"99",99,-207386678.994742,-167307216.287712,10030.9183761046,8481.74307166351,-40079462.7070297,1549.17530444112,71062968.7958521
"100",100,-175186.682788383,3187089.5440722,8194.09975911708,6642.30745259649,-3362276.22686058,1551.79230652059,34398122.3572724
"101",101,-132496895.274564,-103386988.255856,12803.8740824254,10626.8774593409,-29109907.0187076,2176.99662308448,72649839.4803971
"102",102,-2574973.74206656,-160909.089737627,11441.8803915745,9847.02630295019,-2414064.65232893,1594.85408862433,34311146.4248156
"103",103,-19161024.1684131,-14950825.3241737,11968.9926879435,10321.8903253685,-4210198.84423934,1647.10236257495,37152246.0957384
"104",104,-91701561.955209,-65652573.5205093,10793.2253542561,8871.07201377105,-26048988.4346996,1922.15334048502,64492055.2444
"105",105,-5249976.85204747,-2573512.07508547,8968.67419570939,7715.01029543785,-2676464.776962,1253.66390027155,27749742.7823929
"106",106,-36040132.6595917,-33596721.7898498,9519.08725670051,7880.01944756155,-2443410.8697419,1639.06780913896,35224767.0525212
"107",107,-81514398.9586453,-62396744.0476124,8871.96037185447,7864.89050079941,-19117654.9110328,1007.06987105506,39259052.332134
"108",108,1597932.66170922,8478761.65381091,8074.97521983049,6454.1975924016,-6880828.99210169,1620.77762742889,39296381.5406794
"109",109,-124112573.380609,-95336485.8746849,10124.891164655,8501.01274371791,-28776087.5059246,1623.87842093713,61253655.9246672
"110",110,-103635394.547965,-82548509.6867476,10585.4445039388,8519.80068495197,-21086884.8612177,2065.64381898687,62399761.240955
"111",111,-124481008.776853,-106776091.216751,9907.35696477212,8166.21060780087,-17704917.5601021,1741.14635697126,52527844.6995272
"112",112,50239336.9593885,36639892.7148536,7969.05879228881,6849.53461702995,13599444.2445349,1119.52417525887,8791039.26064239
"113",113,-95342810.1495764,-73197666.7587865,11786.8485913165,9698.20142038801,-22145143.3907899,2088.64717092854,63918086.8093606
"114",114,-97748323.999621,-79090406.019654,8751.20685371369,6954.2223503798,-18657917.9799669,1796.9845033339,54597608.0466448
"115",115,-17790975.7943549,-8146356.65813552,6739.14088464588,5881.77487215371,-9644619.13621934,857.366012492171,26791939.3860628
"116",116,-47006249.4047703,-32465190.3804171,8967.46602402903,7309.33577078024,-14541059.0243532,1658.13025324879,47703664.0893291
"117",117,-83980915.346848,-62459287.9593633,10169.547134523,8525.93226896221,-21521627.3874847,1643.61486556077,54393924.6987001
"118",118,-61715487.9102791,-55761576.675715,10558.2370864083,8713.36954618013,-5953911.23456408,1844.86754022812,42851262.0391265
"119",119,-209979332.404759,-172099926.560434,5829.69909472176,4835.85420638446,-37879405.8443252,993.844888337304,57756303.6110713
"120",120,-24810168.9231222,-14530653.8784733,11282.277254565,9620.07952776786,-10279515.0446489,1662.19772679716,43523469.580592
"121",121,-11093979.0142126,-2362590.60925293,10972.5642692764,8720.14632601786,-8731388.40495967,2252.41794325857,53779747.2701311
"122",122,-966373.888558411,4194634.48508212,9035.11977024604,7513.00192337456,-5161008.37364054,1522.11784687149,35603365.3110703
"123",123,-36095211.3010896,-28793676.9354465,8188.1843269887,7071.04116497883,-7301534.36564311,1117.14316200986,29644397.6058404
"124",124,57209546.0958805,50922412.7309684,12333.7453931022,10340.5437347817,6287133.36491207,1993.20165832058,33576899.8014994
"125",125,-140513869.277848,-118141068.405593,9798.08615451982,8250.81929524806,-22372800.8722548,1547.26685927176,53318138.05769
"126",126,-13663190.8679525,-4863230.36722914,10583.6503391817,8320.04641526929,-8799960.50072338,2263.6039239124,54072038.9789713
"127",127,-15579270.2101585,-14431244.3479105,9660.9828057034,8333.53269327551,-1148025.862248,1327.4501124279,27697028.1108059
"128",128,20901305.2478602,18772103.4129985,14070.1064085487,11287.852718567,2129201.83486172,2782.25368998167,53515871.9647716
"129",129,-64161509.623882,-55668908.8280005,7223.17958298801,6094.84203876315,-8492600.7958815,1128.33754422485,31059351.6803785
"130",130,9586346.57691076,11735074.5692403,10715.3914518735,8685.6055042385,-2148727.99232951,2029.78594763501,42744446.9450296
"131",131,-87557795.2369297,-67010187.7690757,11416.9495713379,9479.14413998226,-20547607.4678539,1937.80543135562,59303716.0949664
"132",132,-116362856.504205,-108142538.814702,8205.45378984896,7200.34193799325,-8220317.68950285,1005.11185185571,28322554.726617
"133",133,-35014470.7992476,-29449831.2068923,7448.63957480227,6535.990776566,-5564639.59235533,912.648798236271,23817615.5570807
"134",134,34324862.5714468,24824870.4410383,10175.2947083696,8523.59218514425,9499992.13040851,1651.70252322537,23534058.334099
"135",135,-60641188.2401404,-46279204.2408032,7817.35353768002,6372.33135747573,-14361983.9993372,1445.0221802043,43262427.6034232
"136",136,-95872149.9492204,-75829415.1163882,7833.42697230462,6716.6933910058,-20042734.8328322,1116.73358129882,42377406.4588086
"137",137,-105266712.410982,-83952861.8114159,9171.53687713034,7749.99242135233,-21313850.5995663,1421.54445577801,49744739.7151265
"138",138,13863944.312671,8768987.47668965,11647.7463502826,9840.59545834394,5094956.83598132,1807.15089193861,31048061.0027909
"139",139,59332338.3253454,54468849.5645187,8697.99291743311,7291.03779609707,4863488.76082674,1406.95512133604,23275613.6658941
"140",140,-208076504.08767,-157396635.972912,7383.14855495789,6106.94418113075,-50679868.1147583,1276.20437382714,76203955.5913012
"141",141,-21776522.3623714,-15591622.3488688,11173.7719844508,9530.92210194596,-6184900.01350258,1642.84988250484,39041897.6635994
"142",142,-120995442.964724,-96312185.9589691,8858.90165562369,7322.11797986297,-24683257.0057548,1536.78367576072,55418930.5209692
"143",143,57493042.8228685,50654620.7309068,8220.03218381735,7134.21594672794,6838422.0919617,1085.81623708941,14877902.6498265
"144",144,-69028968.5887272,-60373204.7513724,6117.8821925,5257.86168622099,-8655763.83735472,860.020506279011,25856173.9629349
"145",145,-46318848.1925835,-32659885.539116,8655.91632211352,7401.81425487939,-13658962.6534674,1254.10206723413,38741003.9981501
"146",146,-108663174.708905,-85208296.6904637,8490.8270400742,7083.1943423357,-23454878.0184415,1407.6326977385,51607531.9732115
"147",147,-177320648.96121,-146063746.059272,7355.37535791063,6143.62017819878,-31256902.9019373,1211.75517971185,55492006.4961743
"148",148,-74449818.2397785,-59035313.9471051,7239.95792226879,6403.45622616192,-15414504.2926734,836.50169610687,32144538.2148108
"149",149,-87339518.4504938,-69558620.5659897,7568.91674565976,6230.19472010339,-17780897.8845041,1338.72202555638,44555338.3956316
"150",150,56626483.9106011,43675199.4574439,12320.9676226949,9827.60933109929,12951284.4531571,2493.35829159558,36915881.3787544
"151",151,-113702751.815237,-95816057.6372529,11913.6173205028,9765.22763351517,-17886694.1779839,2148.38968698763,60854487.9177365
"152",152,12549536.4238719,5437842.66087647,8868.83573933748,7623.89764111272,7111693.76299539,1244.93809822476,17787068.2014998
"153",153,78578005.1577289,68223578.1226325,7713.42384695813,6670.18170759882,10354427.0350964,1043.24213935931,10510415.7520898
"154",154,51363437.7031051,45400443.0981201,9553.8939963503,8049.94950576329,5962994.60498497,1503.94449058701,24115895.2067552
"155",155,-104338084.599328,-89170302.0332644,11110.2252357354,9650.40345134196,-15167782.5660641,1459.82178439348,44364218.2539337
"156",156,-53270774.2022398,-42471733.4757379,9990.08979725994,8671.88744192716,-10799040.7265019,1318.20235533278,37163087.8331575
"157",157,12231299.7981539,8804032.06667899,7359.22269215596,6171.79968713954,3427267.73147494,1187.42300501642,20321192.3688535
"158",158,-149885328.856665,-88498213.8849825,12321.4437911465,9572.14824365206,-61387114.9716827,2749.29554749439,116373025.92157
"159",159,19365150.9348168,14190690.7016255,7536.34692566087,6305.61734941103,5174460.23319133,1230.72957624984,19440131.2918054
"160",160,-3415755.14775675,-450807.444600775,8112.54486215146,6749.32214968086,-2964947.70315598,1363.22271247061,30229401.9525681
"161",161,108453380.360514,90393389.6106889,9997.90696532074,8780.13701875714,18059990.7498255,1217.76994656361,6295408.18144662
"162",162,79487718.7923854,64861480.9940994,12532.335003095,10209.5200941604,14626237.7982859,2322.81490893464,31830060.3804069
"163",163,-153770296.21729,-123741923.081605,11193.5223516754,9442.22137150279,-30028373.1356848,1751.30098017266,65054392.7391381
"164",164,-123291498.314087,-100890344.746043,7797.37115424062,6733.84488368805,-22401153.568044,1063.52627055257,43671678.9790954
"165",165,-53325458.1907387,-47233682.8647155,8589.47280278682,7448.35800831069,-6091775.32602324,1141.11479447613,28914071.2155459
"166",166,-4291493.86694319,-3495828.04330511,10269.1907762088,8807.77681951543,-795665.823638088,1461.41395669336,30023944.9575052
"167",167,-19045932.2363807,-17660788.5378777,9358.48208531047,8140.58466336273,-1385143.69850302,1217.89742194774,25743092.1374579
"168",168,-143677094.450834,-110086694.947752,8949.08733455971,7339.12413941751,-33590399.503082,1609.9631951422,65789663.405926
"169",169,80965300.05831,70686339.0776773,7587.57618515701,6283.76339672894,10278960.9806326,1303.81278842807,15797294.7879287
"170",170,-103665907.062887,-80821684.9841189,9466.92430046114,8056.81414373315,-22844222.0787678,1410.11015672799,51046425.2133277
"171",171,67206774.9935666,57954791.7955999,11129.7601405427,8788.5666842125,9251983.1979667,2341.19345633017,37571885.9286367
"172",172,-198640077.273435,-156538241.202782,11501.7666941685,9701.98028363202,-42101836.070653,1799.78641053645,78097564.2813821
"173",173,17530616.5307075,13838237.6906048,9314.96725674965,7632.62331457849,3692378.8401027,1682.34394217117,29954500.0033206
"174",174,-2177968.78064378,-854443.264030218,6850.29135570103,5657.45245883449,-1323525.51661357,1192.83889686654,25180303.4539443
"175",175,-19966319.6203582,-15969158.4653319,8868.30502422103,7332.80905458741,-3997161.15502626,1535.49596963362,34707080.5476986
"176",176,71530807.0516111,62263099.4923919,9630.96552808889,8313.03057245618,9267707.55921926,1317.93495563271,17090991.5534349
"177",177,-8039847.12780035,6234186.19920184,7470.38429383303,6193.69829629089,-14274033.3270022,1276.68599754213,39807753.2778449
"178",178,21465398.3577192,16543856.9664592,12060.5822003059,9431.87669232789,4921541.39125997,2628.70550797799,47652568.7682998
"179",179,42522802.6119914,39727064.5316758,7634.84189654707,6684.19145841896,2795738.08031554,950.650438128103,16217270.6822465
"180",180,9335948.86082657,6426602.58394145,9866.31885160327,8535.53962907607,2909346.27688513,1330.7792225272,23706238.1736589
"181",181,46929932.6390992,39988442.5755426,9056.40490485724,7668.49398942475,6941490.06355658,1387.91091543249,20816728.2450932
"182",182,16253769.0307358,15340645.3771438,9976.5216748675,8544.91905953898,913123.653591976,1431.60261532852,27718928.6529784
"183",183,-99827530.2638505,-81457036.8169894,7146.56604973354,6063.62831578882,-18370493.4468611,1082.93773394472,40029248.1257555
"184",184,-6713572.55262548,-223512.099833536,8992.06725743333,7554.04736828428,-6490060.45279195,1438.01988914906,35250458.2357731
"185",185,-67925190.3753196,-44151864.4189713,12276.6305799451,9682.00529145743,-23773325.9563483,2594.62528848766,75665831.7261016
"186",186,93380395.5877545,82436589.3639355,10345.0571639931,8657.12915821257,10943806.2238191,1687.92800578053,22814753.8917915
"187",187,-119527802.918013,-82157505.7429735,12465.6690088482,9810.38848070804,-37370297.1750395,2655.28052814012,90475907.7378419
"188",188,-86236692.4676852,-64279972.6740297,10407.6453473286,8557.90993535644,-21956719.7936556,1849.73541197218,58951428.0330992
"189",189,89942583.8692323,79620100.022925,8311.01491189802,7203.1144265752,10322483.8463073,1107.90048532283,11835525.8601493
"190",190,-189610285.498931,-151787152.617892,9756.98178830208,8187.42109952114,-37823132.8810393,1569.56068878094,69214346.656658
"191",191,-39078613.5603868,-28935469.48795,6689.02048467631,5396.3016370003,-10143144.0724368,1292.71884767601,35997521.0259569
"192",192,-17695179.1185783,-16166191.312398,9605.84316298663,8417.45043318654,-1528987.80618028,1188.39272980009,25296842.4021821
"193",193,36279415.5984976,29383157.606131,9141.33236944279,8037.46609641496,6896257.99236653,1103.86627302783,15181067.4681901
"194",194,-9121744.23472657,-7869808.23248915,9806.21796725849,8415.70289179932,-1251936.00223741,1390.51507545916,29062237.5114207
"195",195,-44959801.6437043,-42682327.8023525,11469.2835854999,9604.53610370437,-2277473.8413518,1864.74748179548,39572423.4772613
"196",196,-91284367.1458042,-67629456.5235787,9523.64320827706,8022.52780803173,-23654910.6222255,1501.11540024533,53677218.6271321
"197",197,-30962343.8823461,-31663839.453865,8082.03297216943,6475.50191357094,701495.57151885,1606.5310585985,31429125.6004511
"198",198,56474546.2178135,48632021.157454,8021.89972913574,6959.45557510144,7842525.06035945,1062.4441540343,13406358.0203265
"199",199,21620916.9279893,10310432.6219797,8821.97040517631,7483.58775399916,11310484.3060096,1338.38265117716,15457168.7175335
"200",200,-37744934.5108037,-35300561.948869,11639.7517512268,8359.52926356642,-2444372.56193467,3280.22248766039,68048822.3151425
"201",201,-106779677.930833,-90959105.8735914,7051.30899930864,6079.40649145128,-15820572.0572412,971.90250785736,35258622.2143885
"202",202,-36785968.4643413,-20017799.2537346,7944.63119634117,6483.06297103508,-16768169.2106067,1461.56822530609,45999533.7167286
"203",203,-42042539.8352104,-28022101.0818025,9604.27571568747,7893.08044689634,-14020438.7534079,1711.19526879113,48244344.1292305
"204",204,30466956.4732841,28423306.4350511,11131.2668563505,9025.87924936523,2043650.03823297,2105.38760698524,40064102.1014719
"205",205,-48222529.8686253,-44437433.3771928,10100.9445354904,8790.64737595794,-3785096.49143253,1310.29715953245,29991039.6820816
"206",206,15962334.4944812,16371958.0046644,7433.60676165217,6132.35010813864,-409623.510183159,1301.25665351354,26434756.5804539
"207",207,-154857878.459278,-108024552.367916,10928.4519517302,8992.1268376877,-46833326.091362,1936.32511404253,85559828.3722126
"208",208,39386185.3648747,35387770.1880207,10238.8189253137,8572.30943239991,3998415.17685404,1666.50949291384,29331774.6814228
"209",209,-9102762.69898446,-3541053.54510174,9124.66715185524,7918.72512636087,-5561709.15388271,1205.94202549437,29680549.6637702
"210",210,-13050338.6845722,-13277703.7504794,8590.34686452407,7240.51064784091,227365.065907141,1349.83621668316,26769359.267756
"211",211,-8315995.97226002,-1086145.23009797,7498.71597331583,6439.42827583517,-7229850.74216205,1059.28769748066,28415604.6917754
"212",212,-67685582.1973279,-59140525.9527647,7942.89272023161,6632.68840312018,-8545056.24456323,1310.20431711142,34749142.5867917
"213",213,99716822.6894866,86055380.9337827,7921.98527184566,6435.39141565777,13661441.7557038,1486.59385618789,16070435.368054
"214",214,-95357936.5122649,-74059829.4610325,12956.118852062,10609.2620292589,-21298107.0512324,2346.85682280307,68235243.5072939
"215",215,-68634984.3220697,-56429025.188711,7756.77632872621,6871.46820465781,-12205959.1333587,885.308124068397,29912121.6147267
"216",216,-103095781.011857,-77995399.0448575,9236.06572482509,7684.48082591886,-25100381.9669996,1551.58489890623,56132079.9451242
"217",217,-35216971.8286779,-26703360.3216382,7885.35633915843,6734.62944324903,-8513611.50703976,1150.7268959094,31528149.4252278
"218",218,-33758243.4419258,-24229377.88841,10524.1071289693,8358.73402046012,-9528865.55351582,2165.37310850916,52836327.7236991
"219",219,12718839.0794719,10091149.900344,7564.52830705306,6444.17875741866,2627689.17912784,1120.34954963441,19779301.8135603
"220",220,-4395719.54150409,9317447.32796369,8505.12972373311,6882.32798864158,-13713166.8694678,1622.80173509153,46169201.5712984
"221",221,3208408.92993377,4827020.72967615,9131.2821322614,7539.86191084606,-1618611.79974238,1591.42022141534,33447016.2280492
"222",222,-16087682.4105884,-8695200.86575913,6123.63300287197,5586.79550813994,-7392481.54482929,536.837494732031,18129231.4394699
